NR_CANDIDATO,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NM_PARTIDO,DS_GENERO,DT_NASCIMENTO,DS_COR_RACA,DS_GRAU_INSTRUCAO,DS_OCUPACAO,DS_SIT_TOT_TURNO,DS_SITUACAO_CANDIDATURA,ANO
9023,ERICO ROMÃO DE VILLALBA ALVIM,DR ALVIM,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,18/01/1959,BRANCA,SUPERIOR COMPLETO,OUTROS,NÃO ELEITO,APTO,2022
9044,VALTER FRANCISCO BRITO,VALTÃO,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,09/07/1962,PARDA,SUPERIOR INCOMPLETO,OUTROS,NÃO ELEITO,APTO,2022
9001,ANTONIO CARLOS MARCIANO,MARCIANO,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,04/09/1966,BRANCA,SUPERIOR COMPLETO,EMPRESÁRIO,NÃO ELEITO,APTO,2022
9047,JAELSON DA CONCEIÇÃO SERRA,JOELSON,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,12/10/1969,PARDA,ENSINO MÉDIO COMPLETO,COMERCIANTE,NÃO ELEITO,APTO,2022
9025,ANDRÉA CRISTINA PRADELLA,ANDRÉA PRADELLA,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,14/05/1973,BRANCA,SUPERIOR COMPLETO,ADVOGADO,NÃO ELEITO,APTO,2022
9090,EDJANE LIMA DE AZEVEDO,POLICIAL EDJANE,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,FEMININO,28/04/1977,PARDA,ENSINO MÉDIO COMPLETO,POLICIAL MILITAR,NÃO ELEITO,APTO,2022
9096,TASSIO RENAM SOUZA BOTELHO,DR TASSIO RENAM,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,21/09/1994,PARDA,SUPERIOR COMPLETO,ADVOGADO,NÃO ELEITO,APTO,2022
3580,EMERSON JONAS DE OLIVEIRA COSTA,EMERSON DORIVAL COSTA,PMB,PARTIDO DA MULHER BRASILEIRA,MASCULINO,25/11/1980,BRANCA,SUPERIOR COMPLETO,"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES",NÃO ELEITO,APTO,2022
2806,JOÃO ROBERTO TRINDADE,ROBERTO BUJUTSU,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,07/09/1954,BRANCA,SUPERIOR INCOMPLETO,EMPRESÁRIO,NÃO ELEITO,APTO,2022
2808,BRUNO MARINHO BARCELLOS,BRUNO MARINHO NETO,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,02/04/1983,PARDA,SUPERIOR COMPLETO,EMPRESÁRIO,NÃO ELEITO,APTO,2022
2886,ANDERSON GOMES DE CAMPOS,ANDERSON AMEM,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,29/06/1985,PARDA,SUPERIOR COMPLETO,EMPRESÁRIO,NÃO ELEITO,APTO,2022
2814,SANDERSON RIBEIRO CORREIA DE LIMA,PROF. SANDERSON RIBEIRO,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,16/11/1981,BRANCA,SUPERIOR COMPLETO,PROFESSOR DE ENSINO MÉDIO,NÃO ELEITO,APTO,2022
2837,ELISANGELA MARIA FERREIRA,ELISANGELA FERREIRA,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,FEMININO,04/12/1975,PARDA,ENSINO FUNDAMENTAL COMPLETO,EMPRESÁRIO,NÃO ELEITO,APTO,2022
2825,WILSON KEIITI HAYASHIDA,WILSON KEIITI JAPA,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,25/08/1957,AMARELA,SUPERIOR COMPLETO,COMERCIANTE,NÃO ELEITO,APTO,2022
2888,ANETE MARIA PIZZIMENTI,ANETE PIZZIMENTI,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,FEMININO,24/11/1963,BRANCA,SUPERIOR COMPLETO,ADVOGADO,NÃO ELEITO,APTO,2022
2844,MARCOS ROBERTO DIAS DE OLIVEIRA,MARCOS OLIVEIRA,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,MASCULINO,06/03/1970,BRANCA,SUPERIOR COMPLETO,OUTROS,NÃO ELEITO,APTO,2022
2215,ROBSON LIEBETANZ DZELVE CALABIANQUI JUNIOR,FUINHA ROBSON CALABIANQUI,PL,PARTIDO LIBERAL,MASCULINO,28/08/1996,BRANCA,ENSINO MÉDIO COMPLETO,OUTROS,NÃO ELEITO,INAPTO,2022
4420,SILVIO FELIX DA SILVA,SILVIO FÉLIX,UNIÃO,UNIÃO BRASIL,MASCULINO,10/02/1964,BRANCA,SUPERIOR COMPLETO,OUTROS,NÃO ELEITO,INAPTO,2022
3310,JORGE DONIZETTI RIBEIRO DE MATOS,JORGE MATOS,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,MASCULINO,19/11/1961,BRANCA,SUPERIOR COMPLETO,OUTROS,NÃO ELEITO,INAPTO,2022
3391,ELISANGELA RODRIGUES DA SILVA,TATÁ RODRIGUES,PMN,PARTIDO DA MOBILIZAÇÃO NACIONAL,FEMININO,05/07/1972,PRETA,ENSINO FUNDAMENTAL INCOMPLETO,OUTROS,NÃO ELEITO,INAPTO,2022
7015,WALTER DE BARROS,WALTER DE BARROS,AVANTE,AVANTE,MASCULINO,06/10/1969,BRANCA,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,NÃO ELEITO,INAPTO,2022
3607,ANDRÉ ALMEIDA MILIAN,BISPO ANDRE ALMEIDA,AGIR,AGIR,MASCULINO,30/01/1986,BRANCA,SUPERIOR INCOMPLETO,ENGENHEIRO,NÃO ELEITO,INAPTO,2022
3654,JOSE GERALDO DE CARVALHO,ZEDAVAN,AGIR,AGIR,MASCULINO,08/07/1966,PARDA,ENSINO MÉDIO COMPLETO,COMERCIANTE,NÃO ELEITO,INAPTO,2022
1479,FRANCISCO DE ASSIS DA SILVA,CHICÃO DA SILVA,PTB,PARTIDO TRABALHISTA BRASILEIRO,MASCULINO,12/09/1964,BRANCA,ENSINO MÉDIO COMPLETO,EMPRESÁRIO,NÃO ELEITO,INAPTO,2022
1169,PASCOAL SOUZA SILVA,PASCOAL SOUZA SILVA,PP,PROGRESSISTAS,MASCULINO,26/03/1967,PRETA,ENSINO FUNDAMENTAL INCOMPLETO,EMPRESÁRIO,NÃO ELEITO,INAPTO,2022
5177,FELICIANO NAHIMY FILHO,FELICIANO,PATRIOTA,PATRIOTA,MASCULINO,14/02/1957,BRANCA,SUPERIOR COMPLETO,ECONOMISTA,NÃO ELEITO,INAPTO,2022
2875,SUZECLEA SOUZA SANTOS,SUZI,PRTB,PARTIDO RENOVADOR TRABALHISTA BRASILEIRO,FEMININO,24/04/1985,BRANCA,ENSINO MÉDIO COMPLETO,OUTROS,NÃO ELEITO,INAPTO,2022
9095,JOÃO GOMES DE ALMEIDA,DALVAN,PROS,PARTIDO REPUBLICANO DA ORDEM SOCIAL,MASCULINO,09/10/1951,PARDA,SUPERIOR COMPLETO,CANTOR E COMPOSITOR,NÃO ELEITO,INAPTO,2022
5556,JOSIANE CRISTINA FRANCISCO PIETRO,JOSI,PSD,PARTIDO SOCIAL DEMOCRÁTICO,FEMININO,20/04/1979,BRANCA,SUPERIOR COMPLETO,SERVIDOR PÚBLICO MUNICIPAL,NÃO ELEITO,INAPTO,2022
