NR_CANDIDATO,NM_CANDIDATO,SG_PARTIDO,DS_ORIGEM_DESPESA,VR_TOTAL,ANO
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Alimentação,32413.18,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Cessão ou locação de veículos,77320.84,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Combustíveis e lubrificantes,55848.95,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Correspondências e despesas postais,1849.6000000000001,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Despesa com Impulsionamento de Conteúdos,7000.0,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Despesas com Hospedagem,42032.5,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Despesas com pessoal,747494.9,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Despesas com transporte ou deslocamento,24064.98,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Doações financeiras a outros candidatos/partidos,510000.0,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito",380.45,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Locação/cessão de bens imóveis,14255.57,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Locação/cessão de bens móveis (exceto veículos),2862.14,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Materiais de expediente,32063.88,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Publicidade por jornais e revistas,15500.0,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Publicidade por materiais impressos,708530.0,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Serviços advocatícios,100000.0,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Serviços prestados por terceiros,120409.98,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Telefone,1052.89,2022
1001,DANIEL FERNANDO DE SOUZA CAMILO,REPUBLICANOS,Alimentação,10500.0,2022
1001,DANIEL FERNANDO DE SOUZA CAMILO,REPUBLICANOS,Combustíveis e lubrificantes,4480.0,2022
1001,DANIEL FERNANDO DE SOUZA CAMILO,REPUBLICANOS,Correspondências e despesas postais,26305.4,2022
