NR_CANDIDATO,NM_CANDIDATO,SG_PARTIDO,DS_ORIGEM_RECEITA,DS_FONTE_RECEITA,VR_TOTAL,ANO
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,2302780.0,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,149244.0,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Recursos de partido político,OUTROS RECURSOS,165000.0,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,106310.0,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,2500.0,2022
1001,DANIEL FERNANDO DE SOUZA CAMILO,REPUBLICANOS,Recursos de origens não identificadas,OUTROS RECURSOS,2002.98,2022
1001,DANIEL FERNANDO DE SOUZA CAMILO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,500000.0,2022
1001,DANIEL FERNANDO DE SOUZA CAMILO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,73421.0,2022
1001,DANIEL FERNANDO DE SOUZA CAMILO,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,22700.0,2022
1001,DANIEL FERNANDO DE SOUZA CAMILO,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,761.9,2022
1002,HELIO ALVES RIBEIRO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,700000.0,2022
1002,HELIO ALVES RIBEIRO,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,1600.0,2022
1002,HELIO ALVES RIBEIRO,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,17200.0,2022
1003,VAGNER JOSE DOS SANTOS,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1003,VAGNER JOSE DOS SANTOS,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,4268.2,2022
1004,CLAUDIA CASTALDELLI CORRÊA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,50000.0,2022
1004,CLAUDIA CASTALDELLI CORRÊA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,35826.2,2022
1004,CLAUDIA CASTALDELLI CORRÊA,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,6000.0,2022
1005,RENATO TAROCO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,55000.0,2022
1005,RENATO TAROCO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,54865.0,2022
1006,RENATA SIMONETTI ALVES MARCHETTI,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,50000.0,2022
1006,RENATA SIMONETTI ALVES MARCHETTI,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,12530.0,2022
1007,LEANDRO OSVALDO SANTOS MEIRELES DA FONSECA,REPUBLICANOS,Recursos de outros candidatos,FUNDO ESPECIAL,63150.0,2022
1007,LEANDRO OSVALDO SANTOS MEIRELES DA FONSECA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,714595.0,2022
1007,LEANDRO OSVALDO SANTOS MEIRELES DA FONSECA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,70066.0,2022
1008,GILBERTO BENTO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1008,GILBERTO BENTO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,6070.0,2022
1008,GILBERTO BENTO,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,1200.0,2022
1010,MARCOS ANTONIO PEREIRA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,1400000.0,2022
1010,MARCOS ANTONIO PEREIRA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,287103.12,2022
1010,MARCOS ANTONIO PEREIRA,REPUBLICANOS,Recursos de partido político,OUTROS RECURSOS,1268890.1,2022
1010,MARCOS ANTONIO PEREIRA,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,134000.0,2022
1010,MARCOS ANTONIO PEREIRA,REPUBLICANOS,Rendimentos de aplicações financeiras,FUNDO ESPECIAL,3535.33,2022
1011,RICARDO IZAR,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,1750000.0,2022
1011,RICARDO IZAR,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,5339.0,2022
1011,RICARDO IZAR,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,55500.0,2022
1011,RICARDO IZAR,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,60000.0,2022
1012,GLAUCIA BERENICE SANTOS DA SILVA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,268840.0,2022
1012,GLAUCIA BERENICE SANTOS DA SILVA,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,14200.0,2022
1012,GLAUCIA BERENICE SANTOS DA SILVA,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,10190.0,2022
1013,DOUGLAS MELO DE SOUSA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1013,DOUGLAS MELO DE SOUSA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,59588.0,2022
1013,DOUGLAS MELO DE SOUSA,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,1200.0,2022
1014,SIRLEI SIKORSKI,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,60000.0,2022
1015,DANIEL MOTTA DE OLIVEIRA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1015,DANIEL MOTTA DE OLIVEIRA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,51185.0,2022
1016,CICERO DE AQUINO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,100000.0,2022
1016,CICERO DE AQUINO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,50000.0,2022
1016,CICERO DE AQUINO,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,6685.0,2022
1017,EMERSON APARECIDO DOS SANTOS,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1017,EMERSON APARECIDO DOS SANTOS,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,614.0,2022
1018,GUILHERME PIAI SILVA FIZZOLA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,700000.0,2022
1018,GUILHERME PIAI SILVA FIZZOLA,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,130600.22,2022
1018,GUILHERME PIAI SILVA FIZZOLA,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,28006.69,2022
1019,PAULO SERGIO DA ROCHA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1019,PAULO SERGIO DA ROCHA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,7300.0,2022
1020,LUIS CLAUDIO FERNANDES MIRANDA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,2000000.0,2022
1020,LUIS CLAUDIO FERNANDES MIRANDA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,50000.0,2022
1020,LUIS CLAUDIO FERNANDES MIRANDA,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,38000.0,2022
1021,FAVIO ALVARENGA QUINTINO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,67800.0,2022
1021,FAVIO ALVARENGA QUINTINO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,97124.0,2022
1021,FAVIO ALVARENGA QUINTINO,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,377.78,2022
1022,MARIA DO PARTO MENDES ROSAS,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,2400000.0,2022
1022,MARIA DO PARTO MENDES ROSAS,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,334135.6,2022
1022,MARIA DO PARTO MENDES ROSAS,REPUBLICANOS,Recursos de partido político,OUTROS RECURSOS,165000.0,2022
1022,MARIA DO PARTO MENDES ROSAS,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,200.0,2022
1023,HENRIQUE STEIN SCIASCIO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,1610000.0,2022
1023,HENRIQUE STEIN SCIASCIO,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,167300.0,2022
1023,HENRIQUE STEIN SCIASCIO,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,24500.0,2022
1024,LUCIANA DA SILVA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,50000.0,2022
1024,LUCIANA DA SILVA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,5555.0,2022
1025,CARLOS MINORU ISHIKO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1025,CARLOS MINORU ISHIKO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,62061.0,2022
1026,ADILSON DA SILVA ROZA FILHO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1026,ADILSON DA SILVA ROZA FILHO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,1663.2,2022
1027,PIERPAOLO PAGANO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1027,PIERPAOLO PAGANO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,7655.0,2022
1028,DOMINGOS LUCIO FLEMING GALILEU VASCONCELOS,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1029,JONATHAN FABIO NASCIMENTO SOUZA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1030,PAULO EDUARDO SEADE SERRA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1030,PAULO EDUARDO SEADE SERRA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,50000.0,2022
1030,PAULO EDUARDO SEADE SERRA,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,2128.0,2022
1032,DANUTTA DE FIGUEIREDO FALCÃO ROSSETO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,50000.0,2022
1032,DANUTTA DE FIGUEIREDO FALCÃO ROSSETO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,44200.0,2022
1032,DANUTTA DE FIGUEIREDO FALCÃO ROSSETO,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,3000.0,2022
1032,DANUTTA DE FIGUEIREDO FALCÃO ROSSETO,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,3000.0,2022
1033,JONATAN SANTOS DE OLIVEIRA,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,100000.0,2022
1033,JONATAN SANTOS DE OLIVEIRA,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,5544.8,2022
1033,JONATAN SANTOS DE OLIVEIRA,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,6000.0,2022
1034,MARIA APARECIDA FIRMINO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,50000.0,2022
1034,MARIA APARECIDA FIRMINO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,31500.0,2022
1034,MARIA APARECIDA FIRMINO,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,5000.0,2022
1035,CRISLAINE MARTINS PINHEIRO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,200000.0,2022
1035,CRISLAINE MARTINS PINHEIRO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,50000.0,2022
1035,CRISLAINE MARTINS PINHEIRO,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,14804.0,2022
1037,TANIA MARA DA CRUZ TONET,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,50000.0,2022
1037,TANIA MARA DA CRUZ TONET,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,54865.0,2022
1037,TANIA MARA DA CRUZ TONET,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,1500.0,2022
1038,EDGARD MARCOS GASPAR,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1038,EDGARD MARCOS GASPAR,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,80395.5,2022
1040,GUALTER DE ALMEIDA AMADO,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,40000.0,2022
1040,GUALTER DE ALMEIDA AMADO,REPUBLICANOS,Recursos de partido político,FUNDO PARTIDARIO,8365.0,2022
1040,GUALTER DE ALMEIDA AMADO,REPUBLICANOS,Recursos de pessoas físicas,OUTROS RECURSOS,8900.0,2022
1040,GUALTER DE ALMEIDA AMADO,REPUBLICANOS,Recursos próprios,OUTROS RECURSOS,4100.0,2022
1041,ANDREIA ALVES DO AMARAL,REPUBLICANOS,Recursos de partido político,FUNDO ESPECIAL,50000.0,2022
