CD_MUNICIPIO,NM_MUNICIPIO,QT_VOTOS_NOMINAIS,ANO
61000,EUCLIDES DA CUNHA PAULISTA,4226,2018
61018,ADAMANTINA,16124,2018
61026,BOREBI,1513,2018
61034,ADOLFO,2412,2018
61042,TARUMÃ,7319,2018
61050,AGUAÍ,12749,2018
61069,MOTUCA,2102,2018
61077,ÁGUAS DA PRATA,3735,2018
61085,IARAS,2384,2018
61093,ÁGUAS DE LINDÓIA,8811,2018
61107,GUATAPARÁ,3156,2018
61115,ÁGUAS DE SÃO PEDRO,2500,2018
61123,DIRCE REIS,967,2018
61131,AGUDOS,18149,2018
61140,ESPÍRITO SANTO DO TURVO,1995,2018
61158,ALFREDO MARCONDES,2527,2018
61166,ROSANA,8074,2018
61174,ALTAIR,1988,2018
61182,EMBAÚBA,1559,2018
61190,ALTINÓPOLIS,7246,2018
61204,ILHA SOLTEIRA,11570,2018
61212,ALTO ALEGRE,2170,2018
61220,ALUMÍNIO,8604,2018
61239,ÁLVARES FLORENCE,2473,2018
61247,PEDRINHAS PAULISTA,1978,2018
61255,ÁLVARES MACHADO,10556,2018
61263,ARAÇARIGUAMA,9041,2018
61271,ÁLVARO DE CARVALHO,1877,2018
61280,BERTIOGA,24926,2018
61298,ALVINLÂNDIA,1766,2018
61301,SUZANÁPOLIS,1819,2018
61310,AMERICANA,111319,2018
61328,SANTO ANTÔNIO DO ARACANGUÁ,4566,2018
61336,AMÉRICO BRASILIENSE,14764,2018
61344,CANITAR,2280,2018
61352,AMÉRICO DE CAMPOS,3221,2018
61360,BARRA DO CHAPÉU,2912,2018
61379,AMPARO,30122,2018
61387,EMILIANÓPOLIS,1638,2018
61395,ANALÂNDIA,2425,2018
61409,NOVAIS,2172,2018
61417,ANDRADINA,25827,2018
61425,NOVA CANAÃ PAULISTA,1192,2018
61433,ANGATUBA,10712,2018
61441,SALTINHO,4553,2018
61450,ANHEMBI,3386,2018
61468,UBARANA,2535,2018
61476,ANHUMAS,2217,2018
61484,CAJATI,14016,2018
61492,APARECIDA,19247,2018
61506,CAMPINA DO MONTE ALEGRE,3058,2018
61514,APARECIDA D OESTE,2391,2018
61522,ASPÁSIA,1114,2018
61530,APIAÍ,11622,2018
61549,VARGEM,3847,2018
61557,ARAÇATUBA,90300,2018
61565,POTIM,8061,2018
61573,ARAÇOIABA DA SERRA,15425,2018
61581,ALAMBARI,2888,2018
61590,ARAMINA,2673,2018
