NR_CANDIDATO,NM_CANDIDATO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,DS_SIT_TOT_TURNO,QT_VOTOS_NOMINAIS,ANO
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61000,EUCLIDES DA CUNHA PAULISTA,ELEITO POR QP,2,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61018,ADAMANTINA,ELEITO POR QP,164,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61026,BOREBI,ELEITO POR QP,5,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61034,ADOLFO,ELEITO POR QP,18,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61042,TARUMÃ,ELEITO POR QP,49,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61050,AGUAÍ,ELEITO POR QP,1352,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61069,MOTUCA,ELEITO POR QP,22,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61077,ÁGUAS DA PRATA,ELEITO POR QP,34,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61085,IARAS,ELEITO POR QP,36,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61093,ÁGUAS DE LINDÓIA,ELEITO POR QP,132,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61107,GUATAPARÁ,ELEITO POR QP,20,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61115,ÁGUAS DE SÃO PEDRO,ELEITO POR QP,20,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61123,DIRCE REIS,ELEITO POR QP,2,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61131,AGUDOS,ELEITO POR QP,230,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61140,ESPÍRITO SANTO DO TURVO,ELEITO POR QP,17,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61158,ALFREDO MARCONDES,ELEITO POR QP,27,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61166,ROSANA,ELEITO POR QP,57,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61174,ALTAIR,ELEITO POR QP,13,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61182,EMBAÚBA,ELEITO POR QP,3,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61190,ALTINÓPOLIS,ELEITO POR QP,46,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61204,ILHA SOLTEIRA,ELEITO POR QP,136,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61212,ALTO ALEGRE,ELEITO POR QP,23,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61220,ALUMÍNIO,ELEITO POR QP,100,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61239,ÁLVARES FLORENCE,ELEITO POR QP,39,2022
1000,CELSO UBIRAJARA RUSSOMANNO,REPUBLICANOS,61247,PEDRINHAS PAULISTA,ELEITO POR QP,49,2022
